date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.67,31.89,13.36,21.55,4.65,0.6,-0.77,1.53,322.2,2.86,0.0,99.28,101670.0,99280.0
2021-01-02,101.58,53.98,13.5,17.63,11.47,-1.95,0.38,2.43,101.0,5.29,7.36,99.2,101580.0,99200.0
2021-01-03,101.37,87.44,15.79,21.12,12.21,-3.12,2.35,3.94,127.0,9.86,18.79,99.0,101370.0,99000.0
2021-01-04,101.51,76.5,17.43,26.26,11.53,-0.89,1.2,2.86,143.4,9.27,0.12,99.13,101510.0,99130.0
2021-01-05,101.47,73.36,17.53,24.13,13.84,-1.47,-0.66,3.35,65.8,9.0,2.98,99.08,101470.0,99080.0
2021-01-06,101.47,74.58,16.49,21.19,12.45,-0.41,0.06,1.45,97.8,8.76,8.24,99.08,101470.0,99080.0
2021-01-07,101.4,76.34,14.49,21.84,9.95,2.04,-1.57,2.72,307.6,7.75,0.32,99.01,101400.0,99010.0
2021-01-08,101.37,71.88,15.48,24.07,8.61,0.64,-0.63,1.89,314.4,7.69,0.44,98.98,101370.0,98980.0
2021-01-09,101.45,64.41,15.88,23.2,10.63,1.99,-2.01,2.88,315.3,7.23,0.91,99.07,101450.0,99070.0
2021-01-10,101.49,58.13,12.98,19.45,8.57,3.42,-2.28,4.16,303.7,5.42,0.0,99.1,101490.0,99100.0
2021-01-11,101.57,53.02,11.0,19.8,4.5,3.74,-2.24,4.38,300.9,4.12,0.0,99.19,101570.0,99190.0
2021-01-12,101.58,48.85,11.24,20.74,4.3,3.67,-1.91,4.14,297.4,3.81,0.0,99.21,101580.0,99210.0
2021-01-13,101.49,46.81,10.09,19.4,3.68,3.16,-1.78,3.67,299.4,3.41,0.0,99.11,101490.0,99110.0
2021-01-14,101.52,39.14,12.06,20.21,4.95,1.33,-0.97,1.75,306.3,3.25,0.0,99.14,101520.0,99140.0
2021-01-15,101.38,37.15,12.65,19.92,6.68,1.08,-0.76,1.66,305.2,3.27,0.0,99.01,101380.0,99010.0
2021-01-16,101.22,45.45,10.91,22.04,3.38,2.5,-1.86,3.16,306.7,3.5,0.0,98.86,101220.0,98860.0
2021-01-17,101.45,48.03,10.94,18.29,5.08,-1.87,0.3,2.58,99.1,3.83,0.0,99.07,101450.0,99070.0
2021-01-18,101.55,40.97,13.73,18.63,9.99,-2.23,0.11,2.54,92.9,3.97,0.0,99.17,101550.0,99170.0
2021-01-19,101.31,49.95,14.92,24.35,7.9,2.15,-2.21,3.24,315.8,5.29,0.0,98.92,101310.0,98920.0
2021-01-20,101.34,50.16,13.54,23.91,7.34,4.22,-2.49,4.94,300.5,4.53,0.0,98.95,101340.0,98950.0
2021-01-21,101.24,51.09,13.09,23.76,6.04,4.09,-2.16,4.65,297.9,4.41,0.0,98.88,101240.0,98880.0
2021-01-22,101.38,41.61,13.32,23.33,6.65,-1.08,0.33,2.29,107.1,3.71,0.0,98.99,101380.0,98990.0
2021-01-23,101.22,40.74,14.04,22.53,6.61,-1.84,2.16,3.34,139.6,3.95,0.0,98.83,101220.0,98830.0
2021-01-24,101.53,55.76,12.08,20.72,6.31,2.0,-2.14,3.01,317.0,4.74,0.0,99.11,101530.0,99110.0
2021-01-25,101.73,50.87,10.83,20.31,3.15,1.59,-1.85,2.53,319.4,3.92,0.0,99.31,101730.0,99310.0
2021-01-26,101.68,49.09,11.92,21.23,4.71,1.92,-2.17,2.91,318.5,4.11,0.0,99.27,101680.0,99270.0
2021-01-27,101.68,44.89,12.1,21.82,4.88,2.42,-1.99,3.17,309.4,3.71,0.0,99.27,101680.0,99270.0
2021-01-28,101.77,40.75,11.34,21.24,4.25,1.69,-1.99,2.67,319.7,3.17,0.0,99.34,101770.0,99340.0
2021-01-29,101.8,41.0,11.3,21.71,3.56,2.94,-2.65,3.99,312.0,3.21,0.0,99.37,101800.0,99370.0
