forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,ensemble,MV_A,MV_B,UV_A,UV_B,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_A,abs_err_MV_A,err_MV_B,abs_err_MV_B,err_UV_A,abs_err_UV_A,err_UV_B,abs_err_UV_B
2026-06-03,2026-06-02,2026-06-05T23:35:15.511001,PRmsl,Pa,100550.0,100557.3462,100623.2597,100616.141,100592.5355,100397.4487,False,7.3462,7.3462,73.2597,73.2597,66.141,66.141,42.5355,42.5355,-152.5513,152.5513
2026-06-03,2026-06-02,2026-06-05T23:35:15.511001,RH2m,%,63.04,63.8322,65.4752,60.7297,66.0617,63.0623,False,0.7922,0.7922,2.4352,2.4352,-2.3103,2.3103,3.0217,3.0217,0.0223,0.0223
2026-06-03,2026-06-02,2026-06-05T23:35:15.511001,TMP2m,C,31.66,31.8643,31.2729,32.3522,31.4457,32.3865,False,0.2043,0.2043,-0.3871,0.3871,0.6922,0.6922,-0.2143,0.2143,0.7265,0.7265
2026-06-04,2026-06-03,2026-06-06T23:30:51.395560,PRmsl,Pa,100410.0,100518.437,100553.229,100608.2839,100485.152,100427.0829,False,108.437,108.437,143.229,143.229,198.2839,198.2839,75.152,75.152,17.0829,17.0829
2026-06-04,2026-06-03,2026-06-06T23:30:51.395560,RH2m,%,62.95,65.1305,67.1373,62.1295,67.8127,63.4426,False,2.1805,2.1805,4.1873,4.1873,-0.8205,0.8205,4.8627,4.8627,0.4926,0.4926
2026-06-04,2026-06-03,2026-06-06T23:30:51.395560,TMP2m,C,32.16,31.3523,30.5441,32.0167,30.8097,32.0387,False,-0.8077,0.8077,-1.6159,1.6159,-0.1433,0.1433,-1.3503,1.3503,-0.1213,0.1213
2026-06-05,2026-06-04,2026-06-07T23:31:25.331697,PRmsl,Pa,100390.0,100465.0251,100459.9193,100592.6051,100366.4663,100441.1097,False,75.0251,75.0251,69.9193,69.9193,202.6051,202.6051,-23.5337,23.5337,51.1097,51.1097
2026-06-05,2026-06-04,2026-06-07T23:31:25.331697,RH2m,%,64.94,66.5599,67.2638,64.8985,68.2664,65.811,False,1.6199,1.6199,2.3238,2.3238,-0.0415,0.0415,3.3264,3.3264,0.871,0.871
2026-06-05,2026-06-04,2026-06-07T23:31:25.331697,TMP2m,C,32.36,31.4663,31.0715,31.6548,31.3088,31.8301,False,-0.8937,0.8937,-1.2885,1.2885,-0.7052,0.7052,-1.0512,1.0512,-0.5299,0.5299
2026-06-06,2026-06-05,2026-06-08T23:24:47.794102,PRmsl,Pa,100500.0,100476.4123,100508.2728,100566.0475,100384.7597,100446.5692,False,-23.5877,23.5877,8.2728,8.2728,66.0475,66.0475,-115.2403,115.2403,-53.4308,53.4308
2026-06-06,2026-06-05,2026-06-08T23:24:47.794102,RH2m,%,64.23,68.4494,69.4074,68.9526,70.1113,65.3264,False,4.2194,4.2194,5.1774,5.1774,4.7226,4.7226,5.8813,5.8813,1.0964,1.0964
2026-06-06,2026-06-05,2026-06-08T23:24:47.794102,TMP2m,C,32.53,31.3008,30.9683,31.2478,31.2437,31.7433,False,-1.2292,1.2292,-1.5617,1.5617,-1.2822,1.2822,-1.2863,1.2863,-0.7867,0.7867
2026-06-07,2026-06-06,2026-06-09T23:26:16.508090,PRmsl,Pa,100580.0,100521.0754,100591.7113,100531.5833,100503.5894,100457.4175,False,-58.9246,58.9246,11.7113,11.7113,-48.4167,48.4167,-76.4106,76.4106,-122.5825,122.5825
2026-06-07,2026-06-06,2026-06-09T23:26:16.508090,RH2m,%,65.77,69.1518,69.1937,72.6605,69.4831,65.2699,False,3.3818,3.3818,3.4237,3.4237,6.8905,6.8905,3.7131,3.7131,-0.5001,0.5001
2026-06-07,2026-06-06,2026-06-09T23:26:16.508090,TMP2m,C,32.3,31.1909,31.02,30.7725,31.2734,31.6978,False,-1.1091,1.1091,-1.28,1.28,-1.5275,1.5275,-1.0266,1.0266,-0.6022,0.6022
