date,TMP2m,TMP2m_max,TMP2m_min,RH2m,PRmsl,WS,WD,U10m,V10m,QV2m,PS_Pa,PRCP,SW_rad
2021-01-01,25.5,27.0,24.1,68.0,101330.0,4.59,44.0,-3.1884819204067973,-3.301769683554409,13.925125353497112,101258.49818008185,0.1,14.62
2021-01-02,24.5,25.5,23.9,82.0,101280.0,4.52,37.0,-2.7202039046472577,-3.609832505413763,15.87554216752967,101208.53346174568,15.7,5.59
2021-01-03,25.2,27.0,23.6,83.0,101130.0,4.54,44.0,-3.1537490018838477,-3.2658026935374767,16.80478238774861,101058.63930673717,3.5,13.74
2021-01-04,25.1,26.7,23.6,82.0,101170.0,4.17,49.0,-3.1471389495289595,-2.735766150890415,16.488951626855602,101098.61108140611,4.5,14.47
2021-01-05,24.7,26.0,23.8,91.0,101210.0,3.58,65.0,-3.244581877591207,-1.512973377031704,17.8991097052695,101138.58285607504,17.6,7.18
2021-01-06,25.0,26.9,23.4,91.0,101120.0,2.53,85.0,-2.5203725861721162,-0.22050402915157508,18.24903319143089,101048.64636306994,16.1,12.0
2021-01-07,25.1,27.2,23.5,89.0,101000.0,2.69,45.0,-1.9021172413918126,-1.902117241391813,17.968202399817034,100928.73103906313,3.4,9.1
2021-01-08,25.4,27.9,23.8,88.0,100950.0,2.67,56.0,-2.2135303187219613,-1.4930450522668939,18.09934305360055,100878.76632072697,4.2,14.42
2021-01-09,25.6,28.0,23.6,85.0,101030.0,3.26,48.0,-2.422652131056305,-2.1813657767298777,17.66547225431552,100958.70987006483,2.0,16.68
2021-01-10,25.8,28.0,24.0,84.0,101050.0,3.73,35.0,-2.139440107589402,-3.0554371251979395,17.66260397096012,100978.6957573993,0.9,12.95
2021-01-11,25.7,28.0,24.0,85.0,101140.0,4.21,27.0,-1.9113000039034918,-3.7511374668330286,17.753832542367594,101068.63225040441,3.0,15.27
2021-01-12,25.9,28.1,24.4,81.0,101170.0,4.7,33.0,-2.5598034645706274,-3.941751669343493,17.097670010061297,101098.61108140611,0.9,15.88
2021-01-13,25.6,27.9,23.9,80.0,101170.0,3.84,32.0,-2.0348899746555067,-3.2565046892406757,16.57501361124757,101098.61108140611,0.7,17.2
2021-01-14,25.4,27.2,23.8,84.0,101140.0,3.93,42.0,-2.629683282990313,-2.9205591641261597,17.220513346046793,101068.63225040441,1.6,14.98
2021-01-15,25.2,28.1,23.0,81.0,101120.0,2.61,48.0,-1.939607994495999,-1.74643088259662,16.390841150700272,101048.64636306994,0.0,19.12
2021-01-16,24.6,27.6,21.8,80.0,101070.0,2.42,53.0,-1.9326979343144486,-1.456392356027957,15.607165850723991,100998.68164473376,0.0,20.41
2021-01-17,24.4,27.2,20.5,75.0,101190.0,2.46,51.0,-1.9117790651841484,-1.5481281619826002,14.413275138114168,101118.59696874057,0.0,20.34
2021-01-18,25.3,27.8,23.0,70.0,101270.0,3.28,45.0,-2.3193102422918757,-2.319310242291876,14.179156250558218,101198.54051807844,0.0,16.68
2021-01-19,25.3,28.0,22.5,73.0,101210.0,3.36,29.0,-1.6289603240276924,-2.9387222159883697,14.810279105575393,101138.58285607504,0.0,20.29
2021-01-20,25.4,27.9,22.5,78.0,101240.0,2.94,26.0,-1.2888111715598876,-2.642454496119551,15.942748080137871,101168.56168707674,0.0,13.3
2021-01-21,25.6,28.2,23.1,87.0,101180.0,1.85,72.0,-1.759454555146034,-0.5716814395936528,18.065619575126313,101108.60402507333,0.2,17.34
2021-01-22,25.6,28.5,22.9,85.0,101190.0,1.88,92.0,-1.8788547547959,0.0656110538007018,17.636747836305787,101118.59696874057,1.1,18.49
2021-01-23,25.0,28.2,22.4,83.0,101240.0,2.11,82.0,-2.0894656250447134,-0.2936552430257381,16.581696718614346,101168.56168707674,0.4,20.0
2021-01-24,24.8,28.1,21.6,82.0,101300.0,2.03,73.0,-1.9412986546049618,-0.5935145605871556,16.167306466241193,101228.51934908015,0.3,17.91
2021-01-25,24.8,28.0,21.9,79.0,101340.0,2.35,70.0,-2.2082776588468844,-0.8037473368153217,15.5547255684019,101268.49112374909,0.8,17.83
2021-01-26,24.2,27.9,20.1,75.0,101300.0,2.46,50.0,-1.8844693300726858,-1.5812575198288867,14.221615053487623,101228.51934908015,0.0,21.27
2021-01-27,24.7,27.5,21.1,74.0,101330.0,2.11,62.0,-1.8630194209323356,-0.9905849974782297,14.45994361684603,101258.49818008185,0.0,19.26
2021-01-28,25.7,28.1,22.5,73.0,101340.0,3.18,57.0,-2.666972406066449,-1.7319521313477861,15.155510405360898,101268.49112374909,0.8,17.6
2021-01-29,26.1,28.5,24.0,71.0,101370.0,3.46,57.0,-2.901800165091167,-1.8844510611519938,15.087949169799325,101298.46995475079,0.7,19.38
2021-01-30,25.9,28.4,23.6,75.0,101310.0,2.84,53.0,-2.2681248485343115,-1.7091546657518173,15.776618620509383,101238.51229274739,0.0,20.64
2021-01-31,25.8,28.5,23.1,77.0,101350.0,3.0,61.0,-2.623859121418187,-1.4544288607390112,16.10344571508867,101278.48406741631,0.0,21.37
2021-02-01,25.9,28.5,23.3,73.0,101530.0,3.93,48.0,-2.9205591641261597,-2.629683282990313,15.311458855382005,101458.35705342653,0.0,20.81
2021-02-02,25.5,28.2,22.2,76.0,101550.0,3.5,56.0,-2.901631503942646,-1.957175162147614,15.569824989041193,101478.342940761,0.5,19.78
2021-02-03,25.3,27.9,22.9,72.0,101520.0,3.38,51.0,-2.6267533497245616,-2.1271029217484507,14.55700131402335,101448.36410975929,0.0,20.7
2021-02-04,25.0,28.2,21.2,67.0,101500.0,3.26,54.0,-2.6373954016623284,-1.9161799224734624,13.281946088694733,101428.37822242483,0.0,22.05
2021-02-05,24.5,27.9,21.0,67.0,101410.0,3.13,42.0,-2.094378797903226,-2.326043303744244,12.894301135527721,101338.44172941972,0.0,21.42
2021-02-06,24.5,28.0,20.5,71.0,101290.0,3.22,45.0,-2.276883835420683,-2.2768838354206835,13.697608232079908,101218.52640541292,0.0,22.69
2021-02-07,24.3,28.7,19.5,75.0,101340.0,3.48,24.0,-1.4154435179037848,-3.179138192596251,14.303417725553276,101268.49112374909,0.0,22.46
2021-02-08,25.1,28.2,20.4,71.0,101430.0,3.71,45.0,-2.623366158202091,-2.6233661582020913,14.189126025668505,101358.4276167542,0.0,22.07
2021-02-09,25.6,28.4,23.7,61.0,101370.0,3.75,56.0,-3.1088908970814066,-2.0969733880153005,12.533682067012947,101298.46995475079,0.0,22.71
2021-02-10,24.2,28.0,19.5,68.0,101270.0,2.44,59.0,-2.091488213713154,-1.256692902780532,12.870695681481918,101198.54051807844,0.0,23.16
2021-02-11,24.1,28.2,20.1,65.0,101230.0,2.25,77.0,-2.192332645766779,-0.5061398722736961,12.221520598005762,101158.56874340952,0.0,23.04
2021-02-12,24.4,28.1,20.7,62.0,101290.0,2.73,39.0,-1.7180446675660561,-2.1216084747775303,11.855366565538713,101218.52640541292,0.0,22.57
2021-02-13,24.6,28.5,21.1,69.0,101370.0,2.64,59.0,-2.2629216738535765,-1.359700517762543,13.37434060787323,101298.46995475079,0.0,21.75
2021-02-14,24.3,28.4,20.5,73.0,101360.0,2.49,64.0,-2.237997175284926,-1.0915441555048029,13.910654035890012,101288.47701108355,0.0,22.05
2021-02-15,24.5,28.6,19.9,75.0,101250.0,2.42,74.0,-2.3262533041707316,-0.667042401077138,14.493135993992796,101178.55463074398,0.0,23.32
2021-02-16,24.6,28.9,20.5,76.0,101220.0,2.35,102.0,-2.2986468617244435,0.48859247342173445,14.785762032155082,101148.57579974228,0.0,23.66
2021-02-17,25.1,28.4,21.3,71.0,101210.0,2.5,92.0,-2.4984770675477392,0.08724874175625238,14.220674093288755,101138.58285607504,0.0,22.02
2021-02-18,26.1,28.7,24.0,63.0,101320.0,3.73,74.0,-3.5855061258499297,-1.028127337197407,13.358134973219721,101248.50523641462,0.0,22.91
2021-02-19,25.3,28.0,23.0,77.0,101360.0,3.68,48.0,-2.7347729577568107,-2.4624006314005986,15.618480807881875,101288.47701108355,4.8,17.39
2021-02-20,24.6,27.1,22.4,82.0,101320.0,3.42,34.0,-1.9124397298699545,-2.835308498138242,15.966875824075517,101248.50523641462,4.6,14.82
2021-02-21,24.1,26.5,22.0,85.0,101400.0,3.28,65.0,-2.9726895414802117,-1.386187898509494,16.05155135907789,101328.4487857525,11.3,11.89
2021-02-22,25.8,28.5,23.4,80.0,101390.0,3.35,40.0,-2.1533384924499064,-2.5662488844485765,16.74096173995987,101318.45584208526,0.6,20.37
2021-02-23,25.3,28.9,22.0,82.0,101270.0,2.5,44.0,-1.7366459261474931,-1.798349500846628,16.67503623302632,101198.54051807844,0.0,21.9
2021-02-24,24.9,29.0,20.8,80.0,101190.0,1.91,112.0,-1.770921162222564,0.715498593424392,15.877542460323157,101118.59696874057,0.0,23.67
2021-02-25,24.5,28.9,20.6,82.0,101160.0,2.04,132.0,-1.5160154439738842,1.3650264369720708,15.894855633924696,101088.61813773887,0.0,23.63
2021-02-26,25.1,30.3,21.0,82.0,101000.0,2.53,170.0,-0.43932988949733354,2.491563615120886,16.517442352725872,100928.73103906313,0.0,24.31
2021-02-27,25.4,30.5,21.6,83.0,100920.0,2.97,175.0,-0.25885255596054485,2.9586982533324844,17.04799764820869,100848.78748972526,0.0,23.91
2021-02-28,24.8,29.5,20.7,83.0,101010.0,2.7,169.0,-0.5151842875166714,2.650393395308693,16.417895768194253,100938.72398273037,0.0,23.89
2021-03-01,25.5,30.4,21.2,82.0,101280.0,3.1,170.0,-0.5383093507674839,3.052904034337845,16.87837779309246,101208.53346174568,0.0,24.26
2021-03-02,25.8,30.5,22.1,80.0,101310.0,2.69,173.0,-0.3278285337598469,2.669949147915156,16.754537440154177,101238.51229274739,0.0,24.01
2021-03-03,25.0,29.4,21.4,82.0,101210.0,2.35,163.0,-0.6870735060984311,2.2473161765131335,16.381639099943904,101138.58285607504,0.0,24.45
2021-03-04,24.7,28.7,20.6,80.0,101270.0,2.22,147.0,-1.2090986577333607,1.8618486608388414,15.671407606169948,101198.54051807844,0.0,24.26
2021-03-05,25.3,29.8,20.6,77.0,101340.0,2.17,96.0,-2.158112512949153,0.2268267652908082,15.621640618549186,101268.49112374909,0.0,24.85
2021-03-06,25.8,29.6,21.9,80.0,101300.0,2.45,142.0,-1.5083706145478633,1.9306263463364688,16.756235950962495,101228.51934908015,0.0,24.7
2021-03-07,26.4,30.4,22.8,80.0,101210.0,2.62,148.0,-1.388388472290997,2.2218860119298363,17.394892724189035,101138.58285607504,0.0,23.99
2021-03-08,26.6,29.7,23.1,78.0,101280.0,2.54,109.0,-2.4016171820222647,0.8269431123211779,17.14278339524923,101208.53346174568,0.0,23.88
2021-03-09,26.8,30.4,23.2,78.0,101330.0,2.57,84.0,-2.5559212710964623,-0.2686381505978694,17.342906616669616,101258.49818008185,0.1,24.17
2021-03-10,27.4,30.4,24.5,78.0,101300.0,2.82,104.0,-2.73623394809831,0.6822197455910631,17.98872637304292,101228.51934908015,0.5,23.79
2021-03-11,27.1,30.4,24.4,75.0,101300.0,3.07,139.0,-2.014101219000857,2.31695841128391,16.967837097838252,101228.51934908015,0.0,24.59
2021-03-12,25.8,29.5,21.6,79.0,101430.0,2.51,133.0,-1.835697791064118,1.7118158837568707,16.519449136242347,101358.4276167542,0.0,24.7
2021-03-13,26.0,30.1,21.5,76.0,101360.0,2.45,75.0,-2.3665182744082176,-0.6341066605011758,16.08175514419291,101288.47701108355,0.0,24.78
2021-03-14,26.5,31.4,22.0,76.0,101200.0,2.36,117.0,-2.102775397084548,1.0714175793853302,16.604086417754083,101128.58991240781,0.0,25.35
