date,TMP2m,TMP2m_max,TMP2m_min,RH2m,PRmsl,WS,WD,U10m,V10m,QV2m,PS_Pa,PRCP,SW_rad
2021-01-01,10.5,18.0,3.5,75.0,101800.0,1.57,103.0,-1.5297610017128194,0.3531731553198681,5.869172051328184,99245.67476368952,0.0,12.36
2021-01-02,13.7,18.5,9.7,72.0,101650.0,2.68,108.0,-2.548831463671012,0.8281655449248589,6.978880449213914,99099.43850421453,4.5,8.96
2021-01-03,16.0,21.0,12.3,83.0,101450.0,4.21,121.0,-3.608674335955893,2.1683102953713282,9.3850830395156,98904.45682491455,8.1,10.55
2021-01-04,16.6,22.3,12.9,88.0,101580.0,2.75,96.0,-2.7349352122627515,0.28745327398604725,10.340805559974733,99031.19491645954,5.6,8.67
2021-01-05,17.5,21.8,13.9,84.0,101540.0,2.98,94.0,-2.972740869774276,0.20787429175749347,10.456213898014132,98992.19858059955,2.8,7.77
2021-01-06,17.5,21.8,14.8,86.0,101510.0,2.23,117.0,-1.9869445489400603,1.012398814419189,10.712677632405942,98962.95132870456,2.7,8.89
2021-01-07,14.9,19.5,11.1,85.0,101510.0,2.53,296.0,2.2739489371368924,-1.1090790013763658,8.944693335126916,98962.95132870456,0.0,10.83
2021-01-08,13.4,19.0,9.0,85.0,101470.0,1.76,342.0,0.5438699100999078,-1.6738594686794703,8.108435639781135,98923.95499284455,0.0,10.2
2021-01-09,14.9,20.0,11.1,81.0,101560.0,3.37,318.0,2.254970143429352,-2.5043980618588186,8.513750930734854,99011.69674852955,0.0,11.1
2021-01-10,12.3,17.7,8.7,74.0,101620.0,3.89,305.0,3.1865014522841784,-2.231212337405569,6.5425802148947305,99070.19125231954,0.0,13.81
2021-01-11,11.6,17.9,7.3,80.0,101660.0,3.92,301.0,3.3600958187522805,-2.018949253647412,6.7536286726714705,99109.18758817953,0.0,13.95
2021-01-12,11.4,18.2,6.8,77.0,101690.0,3.14,284.0,3.0467285805066293,-0.7596347521829558,6.409507069067233,99138.43484007454,0.0,14.01
2021-01-13,10.9,18.5,5.9,77.0,101600.0,2.96,288.0,2.8151272882336547,-0.9146903033498438,6.203817518775911,99050.69308438954,0.0,14.29
2021-01-14,11.3,18.8,4.8,79.0,101640.0,1.86,83.0,-1.846135842052859,-0.22667697873357434,6.537108568516387,99089.68942024953,0.0,13.64
2021-01-15,12.3,19.5,8.0,82.0,101470.0,1.37,52.0,-1.0795747324412093,-0.8434562211961519,7.268995043572126,98923.95499284455,0.0,13.64
2021-01-16,10.3,17.1,5.3,86.0,101360.0,2.16,310.0,1.654655997136993,-1.388421236922925,6.678165316597373,98816.71506922957,0.0,13.02
2021-01-17,11.4,19.0,6.7,83.0,101570.0,3.17,104.0,-3.0758374522949086,0.7668924090509469,6.92276159721054,99021.44583249454,0.0,12.68
2021-01-18,13.4,18.1,10.4,86.0,101640.0,2.9,89.0,-2.8995583159535347,-0.050611978668122434,8.191183120633536,99089.68942024953,3.0,8.07
2021-01-19,14.6,21.0,10.1,85.0,101400.0,2.77,295.0,2.5104725700915203,-1.170652585021738,8.780471306974695,98855.71140508956,0.0,14.02
2021-01-20,14.2,20.0,10.1,83.0,101440.0,4.15,284.0,4.026727264045387,-1.00397586673862,8.34581260237214,98894.70774094955,0.0,14.63
2021-01-21,13.7,20.5,9.3,76.0,101340.0,4.0,281.0,3.9265087337906555,-0.7632359815061804,7.39400758671515,98797.21690129957,0.0,15.04
2021-01-22,13.4,21.2,7.4,76.0,101460.0,2.7,113.0,-2.4853631043215887,1.0549740469210394,7.240623630179124,98914.20590887955,0.0,14.78
2021-01-23,14.2,21.0,8.9,77.0,101290.0,3.64,129.0,-2.8288112997033745,2.290726223421408,7.746595288128319,98748.47148147457,0.0,14.49
2021-01-24,13.1,19.1,9.0,79.0,101590.0,2.73,304.0,2.2632725730752634,-1.5265966264751394,7.372597229207035,99040.94400042454,0.0,14.58
2021-01-25,11.5,18.2,6.5,79.0,101810.0,2.29,304.0,1.8984960411510454,-1.2805517489480107,6.614011385184365,99255.42384765451,0.0,15.25
2021-01-26,11.7,18.3,7.2,77.0,101780.0,2.66,290.0,2.4995823712905163,-0.9097735812462796,6.533468193191471,99226.17659575952,0.0,15.39
2021-01-27,11.7,18.8,6.6,73.0,101760.0,2.92,294.0,2.667552736316395,-1.1876709977813353,6.191917905894273,99206.67842782952,0.0,15.7
2021-01-28,10.8,18.1,5.6,75.0,101830.0,2.39,316.0,1.6602335053970043,-1.7192221228093756,5.986999174363103,99274.92201558451,0.0,15.76
2021-01-29,11.7,18.6,5.9,72.0,101870.0,3.01,288.0,2.862680114048412,-0.9301411530685911,6.099606121006157,99313.91835144452,0.0,15.86
2021-01-30,12.0,19.0,6.5,67.0,101720.0,3.35,283.0,3.264139717030538,-0.7535860320519475,5.795234082547933,99167.68209196953,0.0,16.15
2021-01-31,12.5,20.5,5.3,66.0,101740.0,2.1,284.0,2.0376210251795928,-0.5080359807593017,5.899444525367243,99187.18025989953,0.0,16.2
2021-02-01,14.3,22.5,7.1,72.0,101890.0,2.06,12.0,-0.4282980830845843,-2.0149840575116396,7.241893369954657,99333.41651937451,0.0,15.96
2021-02-02,15.1,23.5,7.6,72.0,101740.0,1.79,320.0,1.1505898213389059,-1.3712195531829703,7.641719208586451,99187.18025989953,0.0,16.17
2021-02-03,17.2,23.9,11.9,72.0,101580.0,3.43,122.0,-2.9088049698165417,1.8176230763198926,8.767109360934755,99031.19491645954,0.1,15.4
2021-02-04,15.6,21.5,10.6,80.0,101650.0,2.76,52.0,-2.1749096799545526,-1.6992256718988168,8.791633847033635,99099.43850421453,11.0,12.11
2021-02-05,13.4,19.7,8.4,83.0,101780.0,2.45,327.0,1.334365635786816,-2.054742891466289,7.890807042052932,99226.17659575952,0.0,15.07
2021-02-06,13.9,20.0,8.8,73.0,101820.0,3.22,308.0,2.5373946266136445,-1.9824299505486205,7.158457940031419,99265.17293161951,0.0,16.66
2021-02-07,14.7,21.2,9.6,70.0,101800.0,3.55,296.0,3.1907188643620428,-1.5562175711012247,7.231413734123084,99245.67476368952,0.0,16.79
2021-02-08,15.0,22.4,8.6,75.0,101790.0,2.31,296.0,2.076214246951076,-1.012637349082769,7.908518608845885,99235.92567972452,0.0,16.83
2021-02-09,16.6,24.0,10.1,71.0,101470.0,2.55,284.0,2.474254102003791,-0.616900833779152,8.325575270922135,98923.95499284455,0.0,16.9
2021-02-10,17.7,25.3,11.8,72.0,101310.0,2.04,33.0,-1.1110636314306552,-1.7108879586086652,9.07708449221607,98767.96964940456,0.0,17.07
2021-02-11,17.0,24.0,11.3,75.0,101390.0,2.09,329.0,1.0764295765620138,-1.7914796584674142,9.038198500513495,98845.96232112456,0.0,17.26
2021-02-12,17.2,24.5,11.2,77.0,101490.0,1.93,312.0,1.4342695131713714,-1.2914220702725956,9.393571504168232,98943.45316077456,0.0,16.64
2021-02-13,16.9,24.1,11.6,78.0,101510.0,1.7,340.0,0.5814342436536366,-1.5974774553360442,9.333619832280956,98962.95132870456,0.0,16.04
2021-02-14,18.2,25.6,12.2,71.0,101460.0,1.65,20.0,-0.5643332364873533,-1.5504928242967488,9.225718910398564,98914.20590887955,0.0,17.51
2021-02-15,18.9,27.0,12.1,68.0,101280.0,1.86,347.0,0.4184089610795895,-1.8123283205005374,9.248810395084556,98738.72239750957,0.0,16.6
2021-02-16,18.8,26.9,12.2,70.0,101240.0,1.96,8.0,-0.27277927788172823,-1.9409254147334778,9.468534923087057,98699.72606164958,0.0,17.64
2021-02-17,18.1,25.6,11.6,71.0,101420.0,2.06,330.0,1.030000000000001,-1.784012331795943,9.170735480147574,98875.20957301956,0.0,18.15
2021-02-18,18.3,25.5,11.5,71.0,101700.0,1.91,345.0,0.4943443761458145,-1.8449183282121204,9.26246956752424,99148.18392403953,0.0,18.06
2021-02-19,17.9,25.5,11.1,74.0,101940.0,2.2,317.0,1.5003963921374963,-1.6089781435621757,9.39387609498036,99382.1619391995,0.0,18.24
2021-02-20,18.0,25.9,11.8,69.0,101900.0,2.47,305.0,2.0233055493938097,-1.4167337977870837,8.80976481352182,99343.16560333951,0.0,18.37
2021-02-21,18.7,25.9,11.7,66.0,101730.0,2.93,295.0,2.6554818160173843,-1.23827150690025,8.819998152542704,99177.43117593453,0.0,18.74
2021-02-22,19.5,27.4,12.7,66.0,101530.0,2.96,288.0,2.8151272882336547,-0.9146903033498438,9.296711423279591,98982.44949663455,0.0,18.47
2021-02-23,21.5,29.5,13.1,56.0,101280.0,2.25,281.0,2.208661162757244,-0.4293202395972265,8.94174958936534,98738.72239750957,0.0,18.71
2021-02-24,22.0,30.1,13.6,58.0,101110.0,2.28,293.0,2.0987510658715642,-0.8908669729555435,9.574292278135122,98572.98797010459,0.0,19.02
2021-02-25,22.5,30.2,13.6,59.0,100980.0,2.63,291.0,2.4553165216876405,-0.9425077073041399,10.061291143537265,98446.24987855961,0.0,19.0
2021-02-26,23.2,30.9,15.5,56.0,100750.0,3.09,272.0,3.0881176554890057,-0.10783944481072895,9.985409348652704,98222.02094736462,0.0,18.94
2021-02-27,24.1,30.4,19.0,42.0,100700.0,2.97,285.0,2.8687997040785334,-0.7686925639544854,7.884253501207018,98173.27552753963,0.0,19.34
2021-02-28,22.2,29.9,16.9,49.0,101000.0,2.45,349.0,0.46748203867253446,-2.4049865994467767,8.17870446535785,98465.7480464896,0.0,18.69
