date,TMP2m,TMP2m_max,TMP2m_min,RH2m,PRmsl,WS,WD,U10m,V10m,QV2m,PS_Pa,PRCP,SW_rad
2021-01-01,25.4,31.6,20.8,70.0,101140.0,2.35,329.0,1.2103394760386281,-2.0143431566499634,14.284511794034195,100973.55358173717,0.0,15.69
2021-01-02,25.0,28.9,22.6,75.0,101210.0,2.41,330.0,1.2050000000000012,-2.0871212231204965,14.949593940810512,101043.43838251551,0.0,15.52
2021-01-03,24.3,28.3,21.5,69.0,101070.0,2.78,336.0,1.1307278677507244,-2.5396563722464305,13.17081117734242,100903.66878095883,0.0,16.82
2021-01-04,24.0,28.0,21.2,66.0,101060.0,2.53,329.0,1.3030463295224377,-2.1686332707763434,12.35859809840264,100893.68523799049,0.0,15.53
2021-01-05,24.0,28.4,21.1,67.0,101180.0,3.38,343.0,0.9882163619628516,-3.232310075155059,12.534443923904888,101013.4877536105,0.4,15.95
2021-01-06,24.5,29.1,21.6,61.0,101130.0,4.05,343.0,1.1841054041270855,-3.873034261650293,11.75088922490211,100963.57003876884,0.0,16.28
2021-01-07,25.2,29.4,21.6,71.0,100930.0,2.19,339.0,0.7848258095042087,-2.0445411340288713,14.348269089476181,100763.89917940214,0.2,13.81
2021-01-08,25.2,28.9,22.9,84.0,100870.0,2.17,342.0,0.6705668777936363,-2.063792640360483,17.057842140248756,100703.99792159213,2.8,11.78
2021-01-09,25.9,30.2,22.9,78.0,100930.0,2.66,352.0,0.37020044855377526,-2.634113062852577,16.487824562435787,100763.89917940214,0.2,15.97
2021-01-10,26.9,31.0,23.9,76.0,101000.0,2.21,358.0,0.07712788771252682,-2.2086537277122016,17.045594553608904,100833.78398018048,0.0,15.97
2021-01-11,26.9,31.3,23.8,73.0,101110.0,2.49,341.0,0.8106647045983203,-2.3543412532422994,16.336788699305334,100943.60295283217,0.0,17.04
2021-01-12,27.3,32.7,24.0,68.0,101160.0,3.31,353.0,0.40338752667103733,-3.285327761932776,15.55292202396242,100993.52066767385,0.0,17.14
